year,qr,roe,wcoa,reoa,eoa,edr,dd,sr,vol,return
1985,1.53131841,0.033874632,0.805007837,0.100472724,0.030221447,11.57810183,1.690602362,1.350019745,0.588785311,0.795
,,,,,,,,,,
1985,0.123622761,0.069585385,0.498061181,0.433014505,0.158069798,4.505389222,2.701321268,2.206977666,0.35715599,0.788
,,,,,,,,,,
1985,0.038490076,0.066896035,0.456786849,0.31743611,0.019251278,3.32568936,4.255547634,3.271143197,0.23746613,0.777
,,,,,,,,,,
1985,1.615912209,0.049772772,0.819228997,-0.037705422,0.052372907,21.56227679,2.04811436,1.648737523,0.468751681,0.773
,,,,,,,,,,
1985,0.043726293,0.038741978,0.284234293,0.161375391,0.079195372,2.028983648,3.926589811,3.041493203,0.252678033,0.769
,,,,,,,,,,
1985,0.24965118,0.362762448,0.360396447,0.087818092,0.087469744,0.375526624,1.721187494,1.810654862,0.41543665,0.752
,,,,,,,,,,
1985,0.001373473,0.108591298,0.518492519,0.407052585,0.111674768,2.398161134,2.880661834,1.983501869,0.37811913,0.75
,,,,,,,,,,
1985,0.220305569,0.049610727,0.468642612,0.14475945,0.131252386,4.159769701,1.837029667,1.470379635,0.499662713,0.735
,,,,,,,,,,
1985,1.918678855,0.045313714,0.521666604,0.10225385,-0.000522791,4.917622175,2.722118657,2.119701981,0.343101405,0.727
,,,,,,,,,,
1985,4.9,0.031787361,0.67483271,0.148690031,0.02733356,6.848068351,1.529927148,1.116211902,0.639568495,0.714
,,,,,,,,,,
1985,0.224396995,0.062169653,0.545024264,0.270867237,0.167390752,5.320758303,2.637448816,1.964914625,0.360490641,0.708
,,,,,,,,,,
1985,0.049619848,0.06006564,0.23259324,0.198355642,0.074750765,1.813202441,1.284641582,0.944887475,0.749648347,0.708
,,,,,,,,,,
1985,0.05382948,0.075018361,0.398368193,0.425111701,0.09292236,2.233915387,2.146135778,1.445947548,0.485583077,0.702
,,,,,,,,,,
1985,1.734694426,0.030197887,0.667852055,0.097152819,0.072327102,7.259694577,2.058930984,1.467158319,0.473787963,0.695
,,,,,,,,,,
1985,0.033770122,0.092024479,0.290861687,0.257715204,0.179498544,2.663530347,2.196951093,1.586684258,0.421899621,0.669
,,,,,,,,,,
1985,0.19856247,0.031139734,0.223161314,0.10539107,0.085965085,3.583029185,1.986209049,1.627997036,0.405406143,0.66
,,,,,,,,,,
1985,12.7483871,0.019082343,0.933966158,0.123400743,-0.026000825,58.955025,0.807627815,0.540900055,1.219401739,0.66
,,,,,,,,,,
1985,1.144529821,-0.185331173,0.464839916,-0.046174017,-0.086679071,3.695031221,2.292801821,1.509508443,0.427398265,0.645
,,,,,,,,,,
1985,0.063862333,0.059938933,0.407949855,0.364898334,0.122957754,2.572250639,2.675781413,1.66069173,0.381856747,0.634
,,,,,,,,,,
1985,0.329838302,0.02040526,0.425303038,0.129611167,0.007818649,2.256397322,2.656040333,1.634084536,0.388074379,0.634
,,,,,,,,,,
1985,0.159848485,0.04189489,0.533187909,-0.146463073,0.104393892,6.8835247,2.426539028,1.725512647,0.365133067,0.63
,,,,,,,,,,
1985,0.045028507,0.204589053,0.135480257,0.046712716,0.108426385,0.370004754,1.821708561,1.931942809,0.318531487,0.615
,,,,,,,,,,
1985,1.333604402,0.075244466,0.68313862,0.629205366,0.157321722,12.1740721,4.519890582,2.991111116,0.205427952,0.614
,,,,,,,,,,
1985,0.189497245,0.09874158,0.420552277,0.335276775,0.117482318,2.182208538,5.51290695,3.014675911,0.202428529,0.61
,,,,,,,,,,
1985,1.521770972,0.051783191,0.655954372,0.61609822,0.394163593,21.44041278,3.200186274,2.21833913,0.271849073,0.603
,,,,,,,,,,
1985,0.034053367,0.075968154,0.295249439,0.203399148,0.143387237,1.353909815,1.732359387,0.929734983,0.637377966,0.593
,,,,,,,,,,
1985,0.255882761,0.003646538,-0.03688372,-1.328416234,0.077315636,2.096961408,0.876271143,0.742481412,0.79225592,0.588
